"","first_name","last_name","gender","student_id","GPA","age","postcode","program"
"29","Margaret","Daniels","F",47878240,2.27,41,4066,"Bachelor Science/Laws"
"30","Randy","Little","M",41353897,5.78,32,4064,"Bachelor Engineering /Arts"
"31","Annie","Perez","F",39736792,2.31,33,4101,"Bachelor Arts/Social Science"
"32","Paula","Thomas","F",30835656,5.1,35,4000,"Bachelor Arts/Laws"
"33","Robert","Black","M",41683602,6.16,48,4120,"Bachelor Commerce/Science"
"34","Todd","Riley","M",48851345,5.28,21,4075,"Bachelor Journalism/Arts"
"35","Gary","West","M",35693367,5.07,27,4065,"Bachelor Science/Journalism"
"36","Christopher","Rodriguez","M",32296156,4.6,23,4120,"Bachelor Arts/Social Science"
"37","Keith","Dean","M",33994042,6.28,26,4102,"Bachelor Arts/Social Science"
"38","Norma","Stephens","F",32340718,4.38,34,4120,"Bachelor Economics/Arts"
"39","Martin","Perry","M",42485513,5.91,24,4169,"Bachelor Business Management/Arts"
"40","Joshua","Hudson","M",43302813,4.28,53,4101,"Bachelor Commerce/Arts"
"41","Johnny","Hansen","M",34703587,5.5,28,4105,"Bachelor Business Management/International Hotel and Tourism Management"
"42","Clarence","Ramirez","M",46043060,1.67,32,4101,"Masters Computer Science (Management)"
"43","Brenda","Hill","F",36091464,4.49,33,4067,"Bachelor Arts/International Hotel and Tourism Management"
"44","Sandra","Dunn","F",42916542,3.52,23,4102,"Bachelor Economics/Arts"
"45","Joan","Welch","F",30780083,6.19,31,4064,"Bachelor Arts/Laws"
"46","Jack","Graham","M",31556496,5.44,49,4000,"Bachelor Commerce/Science"
"47","Shawn","Powell","M",36969301,6.25,30,4101,"Bachelor Economics/Arts"
"48","Julia","Porter","F",43365324,2.26,22,4064,"Bachelor Engineering  and Master of Engineering"
"49","Billy","Wright","M",37200137,4.9,24,4075,"Bachelor Engineering"
"50","Frank","Perry","M",46983237,6.48,40,4075,"Bachelor Mathematics/Arts"
"51","Phyllis","Boyd","F",49425194,3.47,29,4106,"Bachelor Arts/Education (Secondary)"
"52","Scott","Hernandez","M",30839876,5.65,27,4069,"Bachelor Speech Pathology"
"53","Martha","Gomez","",36137188,4.54,37,4068,"Bachelor Arts/International Hotel and Tourism Management"
"54","Justin","Matthews","M",36276426,1.29,30,4065,"Bachelor Music /Arts"
"55","Andrew","Brooks","M",30062906,4.18,30,4102,"Bachelor Business Management/Commerce"
"56","Sharon","Williams","F",46460932,3.18,25,4075,"Bachelor Music /Arts"
"57","Jane","Young","",42971354,3.32,20,4120,"Bachelor Arts/Education (Secondary)"
"58","Todd","Cook","M",36505619,3.46,50,4000,"Bachelor Agribusiness/Sustainable Agriculture"
"59","Christopher","Sanders","M",33324801,4.03,31,4066,"Bachelor Communication/Arts"
"60","John","Gordon","M",45984014,4.39,23,4075,"Bachelor Science/Laws"
"61","Matthew","Williamson","M",31895142,6.7,37,4000,"Bachelor Arts/Laws"
"62","Melissa","Richardson","F",34201525,3.2,21,4064,"Bachelor Commerce/Arts"
"63","Marilyn","Perry","F",34112380,5.49,25,4067,"Bachelor Science/Journalism"
"64","Peter","Carroll","M",43511098,5.72,44,4069,"Diploma Arts"
"65","Susan","Bishop","F",31786207,4.96,29,4120,"Bachelor Mathematics/Commerce"
"66","Christina","Stone","F",35994050,3.65,28,4101,"Bachelor Arts"
"67","Peter","Harvey","M",48323330,5.98,42,4067,"Bachelor Mathematics/Arts"
"68","Michael","Fowler","M",45273599,5.63,19,4069,"Bachelor Science/Arts"
"69","Andrew","Riley","M",48549071,1.51,23,4000,"Bachelor Journalism/Laws"
"70","Paula","Harrison","F",37018928,3.98,44,4064,"Bachelor Music /Arts"
"71","Louise","Frazier","F",43156791,4.25,24,4065,"Graduate Diploma Responsible Resource Development"
"72","Paul","Rose","M",49950755,5.23,27,4066,"Bachelor Commerce /Information Technology"
"73","Rachel","Hill","F",46170959,4.75,22,4067,"Bachelor Commerce/Arts"
"74","Bobby","Ortiz","M",41181965,4.58,43,4105,"Bachelor Arts/International Hotel and Tourism Management"
"75","Patricia","Hart","F",30705877,5.09,54,4066,"Masters Writing, Editing and Publishing [16 units]"
"76","Adam","Martin","M",38146097,3.23,23,4067,"Bachelor Information Technology/Arts"
"77","Judith","Hughes","F",33524270,6.8,18,4101,"Bachelor Commerce/Arts"
"78","Maria","Foster","F",48057175,4.98,47,4101,"Bachelor Economics/Science"
"79","Bobby","Ruiz","M",36239241,5.53,34,4075,"Bachelor Biomedical Science/Science"
"80","Mary","Stanley","F",30970862,4.48,19,4101,"Bachelor Arts/International Hotel and Tourism Management"
"81","Judy","Hawkins","F",36191725,3.24,41,4075,"Masters Molecular Biology (#16)"
"82","Daniel","Stone","M",43271693,3.87,34,4169,"Bachelor Science/Journalism"
"83","Andrew","Matthews","M",46482374,2.72,34,4068,"Bachelor Arts/Social Science"
"84","Jerry","Powell","",33010146,5.6,22,4103,"Bachelor Business Management/Arts"
"85","Debra","Rose","F",32762424,6.27,26,4104,"Bachelor Information Technology/Arts"
"86","Brenda","Porter","F",49566342,4.8,30,4102,"Bachelor Engineering /Commerce"
"87","Adam","Boyd","M",33084489,5.32,41,4102,"Bachelor Occupational Therapy"
"88","Kevin","Cooper","M",47769054,4.87,31,4103,"Bachelor Mathematics/Arts"
"89","Timothy","Peterson","M",31081303,5.55,42,4101,"Bachelor Information Technology/Arts"
"90","Robert","Jordan","M",41983878,4.7,54,4106,"Bachelor Communication/Arts"
"91","Kenneth","Gonzalez","M",34695621,5.59,23,4120,"Bachelor Journalism/Arts"
"92","Rachel","Gonzalez","F",45439843,6.42,30,4075,"Bachelor Science (St Lucia)"
"93","Dennis","Carter","M",39559101,4.06,69,4103,"Bachelor Engineering"
"94","Ann","White","",30405801,3.01,57,4103,"Bachelor Music /Science"
"95","Annie","Phillips","",32041893,5.04,59,4075,"Bachelor Commerce/Arts"
"96","Harry","Riley","M",41578140,3.15,27,4000,"Bachelor Arts/International Hotel and Tourism Management"
"97","Karen","Tucker","F",45215960,6.01,23,4066,"Bachelor Business Management/Arts"
"98","Nancy","Peters","F",49667966,4.62,27,4105,"Bachelor Science/Journalism"
"99","Terry","Holmes","M",36530505,2.22,37,4169,"Bachelor Engineering"
"100","Donna","Robertson","F",38420605,4.4,33,4105,"Bachelor Arts/Social Science"
"101","Jerry","Baker","M",41144799,5.8,25,4120,"Bachelor Communication/Arts"
"102","Betty","Ryan","",46870495,4.31,20,4066,"Bachelor Information Technology/Arts"
"103","Mark","Hart","M",34150437,4.1,23,4104,"Bachelor Mathematics/Arts"
"104","Catherine","Clark","F",48024559,6.44,43,4069,"Bachelor Mathematics/Arts"
"105","Scott","Gonzalez","M",31009106,5.64,38,4069,"Bachelor Business Management/Arts"
"106","Anthony","Franklin","M",39002175,3.32,47,4066,"Bachelor Economics/Arts"
"107","Shirley","Young","F",30058002,5.98,31,4075,"Bachelor Arts/Laws"
"108","Walter","Wagner","M",37539929,3.99,25,4101,"Bachelor Engineering /Arts"
"109","Wayne","Cole","M",40588388,6.54,38,4103,"Bachelor Information Technology/Arts"
"110","Lisa","Lawson","",48948625,5.19,19,4101,"Bachelor Health Sciences"
"111","Angela","Lopez","F",32819910,2.2,29,4101,"Bachelor Music /Arts"
"112","Richard","Ford","M",48304702,5.59,28,4064,"Bachelor Business Management/Arts"
"113","Walter","Flores","M",43799031,3.61,23,4066,"Bachelor Commerce/Arts"
"114","David","Porter","M",33158983,4.81,18,4064,"Bachelor Economics/Arts"
"115","Craig","Fernandez","M",39670767,5.23,37,4102,"Bachelor Mathematics/Business Management"
"116","Jack","White","M",36064816,6.83,38,4120,"Bachelor Engineering  and Master of Engineering"
"117","Alice","Harper","F",34033378,4.38,42,4169,"Diploma Arts"
"118","Judy","Gilbert","F",34963413,4.68,31,4075,"Masters Museum Studies"
"119","Anna","Stewart","F",35412774,5.85,28,4120,"Bachelor Mathematics"
"120","Betty","Diaz","F",41822639,2.44,21,4101,"Bachelor Engineering  and Master of Engineering"
"121","Nicole","Bailey","F",44852646,4.6,30,4069,"Graduate Diploma Environmental Management"
"122","Tammy","Ross","F",37641136,5.11,37,4067,"Bachelor Business Management/Arts"
"123","Jessica","Oliver","F",36345244,5.7,53,4169,"Bachelor Advanced Science"
"124","Diane","Chapman","F",48563699,6.24,31,4000,"Bachelor Business Management/Arts"
"125","Dennis","Reed","M",30068292,3.6,27,4066,"Bachelor Engineering /Science"
"126","Daniel","Bennett","M",36390632,3.24,33,4105,"Bachelor Arts/Education (Secondary)"
"127","Joe","Bennett","M",47719568,1.46,31,4101,"Bachelor Engineering /Arts"
"128","Todd","Rivera","",45212107,4.27,27,4064,"Bachelor Engineering /Mathematics"
"129","Juan","Thomas","M",33118929,1.22,27,4106,"Bachelor Engineering /Economics"
"130","Christopher","Carroll","M",45420510,3.27,19,4104,"Bachelor Commerce/Arts"
"131","Joan","Bishop","F",37836376,3.81,27,4075,"Bachelor Arts/Laws"
"132","Wanda","Wells","F",39796430,2.6,19,4066,"Bachelor Business Management/Arts"
"133","Craig","Grant","M",46662833,4.47,24,4102,"Masters Leadership in Global Development"
"134","Lillian","Hunt","F",42031927,3.56,19,4067,"Bachelor Information Technology/Arts"
"135","Jesse","Gibson","M",34719274,6.82,35,4065,"Bachelor Communication/Arts"
"136","Harold","Cole","M",30212331,4.75,42,4120,"Bachelor Criminology and Criminal Justice"
"137","Jerry","Pierce","M",40676398,6.8,31,4169,"Bachelor Mathematics/Education (Secondary)"
"138","Robin","Fields","F",49512190,1.83,40,4066,"Bachelor Journalism/Arts"
"139","Steve","Ramos","M",34247199,4.53,23,4075,"Bachelor Business Management/Arts"
"140","Jonathan","Carroll","",47923184,6.75,32,4104,"Bachelor Business Management/Arts"
"141","Nancy","Bryant","F",41743747,5.31,27,4101,"Bachelor Journalism/Arts"
"142","Antonio","Grant","M",35796515,4.8,30,4104,"Bachelor Engineering /Arts"
"143","Wayne","Garrett","M",35657952,3.19,25,4104,"Bachelor Social Science"
"144","Brenda","Torres","F",35448557,5.86,34,4120,"Bachelor International Studies"
"145","Christina","Chapman","F",48028438,5.78,31,4066,"Bachelor Arts/Social Science"
"146","Douglas","Hughes","M",38334376,6.61,45,4064,"Bachelor Biomedical Science/Science"
"147","Fred","Dixon","M",31646578,3.59,28,4106,"Bachelor Science/Arts"
"148","Keith","Jacobs","M",35169820,4.68,31,4000,"Bachelor Music /Arts"
"149","Julia","Richardson","F",44233659,4.75,18,4000,"Bachelor Science/Journalism"
"150","Norma","Olson","F",32260069,5.64,18,4064,"Bachelor Arts"
"151","Amanda","Stewart","F",31569021,5.06,23,4064,"Bachelor Arts/International Hotel and Tourism Management"
"152","Craig","Howell","",30233528,3.3,19,4106,"Bachelor Music /Arts"
"153","Scott","Rodriguez","M",35343577,1.95,35,4120,"Bachelor Science  - St Lucia"
"154","Steven","Baker","M",31976647,5.3,26,4103,"Bachelor Science (St Lucia)"
"155","Emily","Reed","F",31545455,2.03,20,4069,"Bachelor Music /Arts"
"156","Robin","Cruz","F",39749908,6.7,19,4064,"Bachelor Engineering  and Master of Engineering"
"157","Jerry","Snyder","M",37067060,6.7,43,4075,"Bachelor Engineering /Arts"
"158","Linda","Ray","F",31308655,5.23,24,4120,"Bachelor Commerce/Arts"
"159","Diane","Tucker","F",44091753,3.49,27,4120,"Bachelor Biotechnology"
"160","Catherine","Hudson","F",49773152,3.54,37,4067,"Bachelor Commerce/Arts"
"161","Daniel","Bradley","M",36215919,1.8,27,4000,"Bachelor Mathematics/Arts"
"162","Angela","Harrison","",41645291,2.81,50,4102,"Bachelor Commerce/Science"
"163","Willie","Robertson","M",48088971,4.3,31,4105,"Bachelor Communication/ Journalism"
"164","Emily","Stanley","F",38680397,4.12,29,4169,"Bachelor Science  - St Lucia"
"165","Douglas","Hicks","M",42492388,3.55,45,4101,"Bachelor Information Technology/Arts"
"166","Arthur","Jackson","M",49819643,5.46,29,4120,"Masters Music (#16)"
"167","Karen","Coleman","F",36432533,5.3,44,4064,"Bachelor Advanced Humanities"
"168","Theresa","Fuller","F",33238277,5.57,25,4103,"Bachelor Science/Arts"
"169","Julia","Baker","F",43857194,3.8,33,4067,"Bachelor Economics/Arts"
"170","Albert","Duncan","M",30921860,5.33,50,4120,"Graduate Diploma Environmental Management"
"171","Theresa","Crawford","F",35360377,5.24,30,4102,"Bachelor Science/Arts"
"172","Mary","Carroll","F",39534443,6.95,35,4103,"Bachelor Business Management/Communication"
"173","Richard","Fuller","M",38622924,6.46,19,4067,"Bachelor Engineering /Arts"
"174","John","Flores","",46322220,3.74,18,4067,"Bachelor Music /Science"
"175","Norma","Kennedy","F",30301753,3.58,34,4068,"Bachelor Science  - St Lucia"
"176","Joe","Garza","M",34609998,3.62,42,4066,"Bachelor Arts"
"177","Timothy","Morrison","M",33816762,3.05,27,4103,"Bachelor Journalism/Arts"
"178","Virginia","Carpenter","F",45650597,6.43,24,4075,"Bachelor Business Management/Journalism"
"179","Lisa","Woods","F",42935354,5.07,27,4105,"Bachelor Engineering /Arts"
"180","Patrick","Andrews","M",39353475,4.59,21,4104,"Bachelor Arts/Laws"
"181","Charles","Burke","M",31776633,5.65,30,4105,"Bachelor Commerce/Arts"
"182","Gloria","Bryant","F",36990867,4.67,22,4105,"Bachelor Mathematics/Arts"
"183","Eric","Reed","",46204788,6.54,26,4169,"Bachelor Engineering /Economics"
"184","Sandra","Peterson","F",42510988,2.73,28,4075,"Bachelor Engineering /Information Technology"
"185","Bobby","Daniels","M",49217119,5.33,58,4066,"Bachelor Science/Arts"
"186","Julia","Peterson","F",31692109,6.78,36,4102,"Bachelor Mathematics/Arts"
"187","Ernest","Bowman","M",30135080,2.52,31,4064,"Bachelor Business Management/Arts"
"188","Judy","Kim","F",41874993,2.82,32,4068,"Diploma Arts"
"189","Brian","Simpson","M",38853249,6.93,25,4064,"Bachelor Mathematics/Business Management"
"190","Pamela","Berry","F",35526765,4.16,29,4103,"Bachelor Science/Education (Secondary)"
"191","Peter","Snyder","M",36484929,6.54,30,4069,"Bachelor Engineering /Arts"
"192","Robert","Young","M",35748461,3.63,25,4101,"Bachelor Commerce/Arts"
"193","Kenneth","Vasquez","M",43412498,4.35,43,4075,"Bachelor Science/Arts"
"194","Brenda","Robinson","F",48082298,6.69,53,4065,"Bachelor Economics/Science"
"195","Jennifer","Romero","F",46416111,5.4,49,4102,"Bachelor Engineering /Arts"
"196","Matthew","Fuller","M",37514069,5.46,29,4105,"Bachelor Journalism/Arts"
"197","Carl","Carter","M",38503643,4.24,21,4102,"Bachelor Science/Arts"
"198","Phyllis","Simmons","F",31014316,4.94,35,4103,"Bachelor Business Management/Arts"
"199","Albert","Kelley","M",38964311,4.76,37,4105,"Bachelor Veterinary Technology"
"200","Chris","Nguyen","M",49984178,2.48,19,4069,"Bachelor Information Technology/Arts"
"201","Christopher","Lee","M",30166770,4.74,41,4103,"Graduate Diploma e-Healthcare"
"202","Karen","Fisher","F",32174813,2.48,41,4101,"Bachelor Arts/International Hotel and Tourism Management"
"203","Peter","Mcdonald","M",30487403,5.76,28,4068,"Masters Educational Studies (#24)"
"204","Louis","James","",43104762,3.8,21,4066,"Bachelor Mathematics/Education (Secondary)"
"205","Lori","Fisher","F",39182341,1.36,27,4000,"Bachelor Business Management/Arts"
"206","Phillip","Hanson","M",40970466,5.32,44,4065,"Bachelor Business Management/Arts"
"207","Virginia","Marshall","F",37984715,5.08,22,4000,"Bachelor Science  - St Lucia"
"208","Kathryn","Roberts","F",32141000,5.96,40,4103,"Bachelor Business Management/Arts"
"209","Ronald","Harrison","M",46675546,2.36,30,4067,"Bachelor Arts"
"210","Paula","Schmidt","F",46988922,4.49,20,4068,"Bachelor Music /Science"
"211","Roger","Davis","M",40777737,2.99,51,4068,"Bachelor Communication/Arts"
"212","Kenneth","Chapman","M",42349324,3.52,18,4064,"Bachelor Information Technology/Arts"
"213","Ann","Little","",48397947,5.31,43,4101,"Bachelor Science/Laws"
"214","Phillip","Medina","M",31221206,3.76,26,4101,"Bachelor Business Management/Arts"
"215","Ashley","Ross","F",39287632,2.53,19,4120,"Bachelor Information Technology/Science"
"216","John","Spencer","M",38434612,5.8,29,4000,"Bachelor Music /Science"
"217","Edward","Jacobs","M",39627268,3.67,48,4068,"Bachelor Communication/Arts"
"218","Paul","Hunt","M",31082350,3.36,44,4103,"Bachelor Engineering"
"219","Kathryn","Cox","F",44755922,6.61,31,4065,"Graduate Certificate Fire Safety"
"220","Karen","Fernandez","F",30182176,6.79,20,4068,"Bachelor Engineering /Arts"
"221","Brandon","Chavez","M",31526975,5.05,41,4102,"Bachelor Science  - St Lucia"
"222","Frank","Fox","M",42262694,5.56,26,4067,"Bachelor Journalism/Arts"
"223","Fred","Warren","M",36974002,3.54,24,4068,"Bachelor Mathematics/Arts"
"224","Diana","Perry","F",43019806,5.23,30,4068,"Diploma Science"
"225","James","Campbell","M",46328779,3.3,45,4102,"Masters Business (#32)"
"226","Jack","Howell","M",37177923,2.89,30,4102,"Bachelor Information Technology/Arts"
"227","Steve","Gilbert","M",44454393,6.16,27,4103,"Bachelor Arts"
"228","Evelyn","Shaw","F",40782793,5.96,24,4064,"Bachelor Engineering /Arts"
"229","Rebecca","Tucker","F",49144063,4.24,20,4069,"Bachelor Science/Arts"
"230","Diana","West","F",30073294,4,22,4103,"Bachelor Commerce/Economics"
"231","Richard","Torres","M",42319829,4.74,31,4169,"Bachelor Music /Arts"
"232","Pamela","Powell","F",41868335,2.51,27,4103,"Bachelor Information Technology/Science"
"233","Irene","Collins","F",46690889,4,42,4069,"Bachelor Music /Science"
"234","Thomas","Hansen","M",39717472,2.67,23,4075,"Bachelor Business Management/Arts"
"235","Benjamin","Peterson","M",35564670,3.91,36,4101,"Bachelor Science/Journalism"
"236","Teresa","Fields","F",43294249,5.48,28,4102,"Bachelor Business Management/Journalism"
"237","Roger","Hayes","M",43230596,3.58,24,4120,"Bachelor Arts/Education (Secondary)"
"238","Sara","George","F",37305646,5.57,31,4104,"Bachelor Engineering /Science"
"239","Keith","Holmes","M",49228955,1.91,23,4065,"Bachelor Economics/Arts"
"240","Ralph","Lewis","M",30156648,3.36,21,4104,"Bachelor Mathematics/Information Technology"
"241","Steven","Ruiz","M",31481958,4.1,33,4075,"Bachelor Journalism/Arts"
"242","Sean","Berry","M",39329430,6.34,41,4064,"Bachelor Engineering /Science"
"243","Barbara","Freeman","F",49651612,5.09,50,4075,"Bachelor Business Management/Arts"
"244","Martin","Rogers","M",43580723,5.9,19,4103,"Bachelor Biomedical Science/Science"
"245","Justin","Ferguson","M",33301364,1.99,25,4102,"Graduate Certificate Business"
"246","Gloria","Stanley","F",32935117,3.57,39,4067,"Bachelor Science/Arts"
"247","Jeffrey","Oliver","M",45758780,6.06,32,4075,"Bachelor Engineering  and Master of Engineering"
"248","Harold","Reid","M",30149310,4.29,29,4102,"Bachelor Arts/Social Science"
"249","Lillian","Chapman","F",47499081,4.49,24,4169,"Bachelor Environmental Science"
"250","Aaron","Snyder","M",38535508,3.66,22,4105,"Bachelor Business Management/Laws"
"251","Judy","Jones","F",31658909,2.14,34,4120,"Bachelor Commerce/Arts"
"252","Shirley","Williams","F",39195998,3.42,23,4069,"Bachelor Science/Arts"
"253","Michelle","Bradley","F",38551868,4.16,26,4169,"Bachelor Communication/Arts"
"254","William","Snyder","M",49857246,2.53,44,4106,"Bachelor Engineering"
"255","Michael","Bryant","M",42005420,2.73,20,4102,"Bachelor Science/Arts"
"256","Brandon","Lopez","M",33811413,5.78,23,4169,"Diploma Arts"
"257","Gloria","Walker","F",32077297,5.45,50,4104,"Bachelor Engineering /Arts"
"258","William","Larson","M",39377771,1.23,27,4102,"Bachelor Business Management/Journalism"
"259","Craig","Perez","M",43130610,4.53,60,4066,"Bachelor Engineering /Science"
"260","Philip","Jenkins","M",36484147,5.96,41,4120,"Bachelor Music /Arts"
"261","Martin","Freeman","M",35699940,2.7,28,4101,"Bachelor Information Technology/Arts"
"262","Jack","Cook","M",42032382,6.02,53,4101,"Bachelor Music /Science"
"263","Peter","Moore","M",41501903,5.94,18,4104,"Bachelor Arts/International Hotel and Tourism Management"
"264","Laura","Gonzalez","",32068572,3.95,22,4068,"Graduate Certificate Responsible Resource Development"
"265","Clarence","Chavez","M",47842653,2.83,26,4106,"Bachelor Business Management/Laws"
"266","Bonnie","West","F",39957115,5.22,25,4069,"Bachelor Business Management/Arts"
"267","Ronald","Black","M",30313312,4.89,30,4069,"Bachelor Business Management/Arts"
"268","Justin","Cook","M",32756748,2.25,18,4106,"Bachelor Arts/Social Science"
"269","Jane","Gonzalez","F",33613834,2.87,33,4105,"Bachelor Information Technology/Arts"
"270","Paula","Schmidt","F",41495264,6.14,21,4068,"Bachelor Science/Arts"
"271","Terry","Jordan","M",44746289,3.46,49,4120,"Bachelor Economics/Science"
"272","Aaron","Harper","M",45045598,5.33,30,4102,"Bachelor Music /Arts"
"273","Kathryn","Lee","F",37091511,1.04,32,4068,"Bachelor Biomedical Science/Science"
"274","Julie","Green","",38570426,3.57,49,4075,"Bachelor Communication/Arts"
"275","Sharon","Meyer","F",48683654,3.14,18,4101,"Bachelor Arts/Laws"
"276","Kathryn","Scott","",45792428,2.56,64,4069,"Bachelor Business Management/International Hotel and Tourism Management"
"277","Joseph","Lynch","",34602914,5.35,26,4075,"Diploma Science"
"278","Adam","Matthews","M",42244458,4.69,36,4066,"Bachelor Information Technology/Arts"
"279","Jeffrey","Banks","M",45923291,1.49,26,4120,"Bachelor Music /Arts"
"280","Ashley","Mcdonald","F",33340900,4.89,22,4101,"Bachelor Science (St Lucia)"
"281","Arthur","Jackson","M",38659483,4.86,40,4064,"Bachelor Journalism/Arts"
"282","Katherine","Alvarez","F",36849865,5.65,36,4169,"Bachelor Arts"
"283","Raymond","Wagner","M",32905137,5.85,24,4066,"Bachelor Arts/Education (Secondary)"
"284","Tina","Harris","F",41027916,3.32,42,4069,"Bachelor Arts/Social Science"
"285","Karen","Hunter","F",46412889,5.43,37,4068,"Bachelor Economics/Science"
"286","Benjamin","Rodriguez","M",38803189,5.3,35,4102,"Bachelor Mathematics/Arts"
"287","Christopher","Ford","M",32853000,5.02,37,4106,"Bachelor Journalism/Arts"
"288","Pamela","Andrews","F",37069551,3.32,35,4067,"Bachelor Economics/Arts"
"289","Tina","Wright","F",30555806,6.4,25,4103,"Bachelor Commerce/Arts"
"290","Edward","Simmons","M",38263499,2.45,25,4104,"Bachelor Science/Arts"
"291","Christina","Coleman","F",35205954,5.29,23,4000,"Bachelor Mathematics/Commerce"
"292","Shirley","Diaz","F",48759725,5.37,21,4106,"Bachelor Arts/International Hotel and Tourism Management"
"293","Frank","Crawford","M",47924905,2.35,28,4069,"Bachelor Biotechnology"
"294","Earl","Jacobs","M",43624007,5.73,25,4102,"Masters Occupational Therapy Studies"
"295","Lawrence","Owens","M",35475666,5.07,26,4068,"Bachelor Biomedical Science/Science"
"296","Helen","Coleman","F",46804410,4.99,35,4101,"Bachelor Arts"
"297","Anna","Turner","F",39654713,4.8,23,4106,"Bachelor Engineering /Business Management"
"298","Alice","Flores","F",48574864,6.29,20,4105,"Bachelor Mathematics/Arts"
"299","Victor","Boyd","M",32847324,2.3,27,4065,"Bachelor Health, Sport and Physical Education"
"300","Carolyn","Willis","F",32578266,4.46,23,4169,"Bachelor Advanced Humanities"
"301","Amanda","Reed","F",44946682,6.35,42,4101,"Bachelor Engineering /Arts"
"302","Billy","Ellis","M",33355485,2.22,35,4000,"Bachelor Arts/Education (Secondary)"
"303","Angela","Berry","F",34858974,2.31,40,4104,"Bachelor Arts"
"304","Clarence","Edwards","M",31281493,4.17,22,4103,"Bachelor Arts/Laws"
"305","Thomas","Lewis","M",42131969,6.31,35,4120,"Diploma Science"
"306","Wayne","Armstrong","M",37679035,3.52,25,4106,"Bachelor Business Management/Arts"
"307","Thomas","Gomez","M",45176695,4.99,23,4064,"Graduate Diploma Educational Studies"
"308","Carl","Wilson","M",32182781,2.32,25,4103,"Bachelor Journalism/Arts"
"309","Wayne","Tucker","M",33882564,4.85,21,4105,"Bachelor Mathematics/Science"
"310","Willie","Robertson","M",32378648,5.1,32,4101,"Bachelor Commerce/Arts"
"311","Jeffrey","Burns","M",35149416,2.33,28,4106,"Bachelor Information Technology/Science"
"312","Diane","Bennett","F",49993688,5.42,37,4105,"Bachelor Engineering /Science"
"313","Steve","Perry","M",40549253,5.68,26,4067,"Bachelor Arts/Social Science"
"314","Jesse","Gray","M",34027808,1.19,21,4064,"Bachelor Economics/Arts"
"315","Rose","Ramirez","F",30881933,6.06,26,4102,"Bachelor International Studies"
"316","Rebecca","Hall","F",44007000,5.72,29,4120,"Bachelor Science  - St Lucia"
"317","Paul","Henry","M",48195615,5.61,27,4075,"Bachelor Arts/Social Science"
"318","Todd","Chavez","M",47936244,4.86,39,4106,"Bachelor Arts/International Hotel and Tourism Management"
"319","Willie","Burke","M",30688723,4.18,23,4075,"Bachelor Engineering /Arts"
"320","Katherine","Bishop","F",38983484,2.02,21,4102,"Bachelor Engineering /Economics"
"321","Eugene","Alexander","M",42028934,6.34,24,4105,"Bachelor Journalism/Arts"
"322","Russell","Ray","M",43416562,3.73,26,4075,"Bachelor Commerce/Arts"
